m_id,m_Priority,m_NameID,m_RewardID,m_ItemID,m_ItemNum,m_PremiumShopID,m_ResourceID,m_Price,m_SalePrice,m_ProductNum,m_OpenTimestamp,m_CloseTimestamp,m_ResetCycle,m_AndCondition,m_Conditions
0,0,0,0,0,0,0,0,0,0,0,3600,1563444000,0,194,"[0, 0, 0]"
261,65500,0,260,30362,1,0,15,2000,0,8,0,0,0,194,"[0, 0, 0]"
282,45490,0,210,50206,1,0,15,100,0,0,0,0,0,194,"[0, 0, 0]"
260,35500,0,250,553,1,0,15,100,0,0,0,0,0,194,"[0, 0, 0]"
298,30000,0,230,50291,1,0,15,0,200,0,0,0,0,194,"[0, 0, 0]"
1,29990,0,255,9020,1,0,15,20,5,0,0,0,0,194,"[0, 0, 0]"
2,29980,0,255,9010,1,0,15,4,0,0,0,0,0,194,"[0, 0, 0]"
3,29970,0,255,9000,1,0,15,1,0,0,0,0,0,194,"[0, 0, 0]"
270,65500,0,260,30432,1,0,16,30000,0,1,0,0,0,194,"[0, 0, 0]"
269,65490,0,260,30267,1,0,16,5000,0,8,0,0,0,194,"[0, 0, 0]"
263,55490,0,210,50208,1,0,16,200,0,0,0,0,0,194,"[0, 0, 0]"
268,45480,0,250,520,1,0,16,100,0,0,0,0,0,194,"[0, 0, 0]"
205,35500,0,240,50214,1,0,16,30000,0,1,0,0,3,194,"[0, 0, 0]"
206,35490,0,240,50220,1,0,16,30000,0,1,0,0,3,194,"[0, 0, 0]"
207,35480,0,240,50216,1,0,16,30000,0,1,0,0,3,194,"[0, 0, 0]"
208,35470,0,240,50215,1,0,16,30000,0,1,0,0,3,194,"[0, 0, 0]"
209,35460,0,240,50219,1,0,16,30000,0,1,0,0,3,194,"[0, 0, 0]"
210,35450,0,240,50218,1,0,16,30000,0,1,0,0,3,194,"[0, 0, 0]"
211,35440,0,240,50217,1,0,16,30000,0,1,0,0,3,194,"[0, 0, 0]"
212,35430,0,240,50221,1,0,16,30000,0,1,0,0,3,194,"[0, 0, 0]"
213,35420,0,240,50206,1,0,16,5000,0,3,0,0,3,194,"[0, 0, 0]"
214,35410,0,240,50212,1,0,16,5000,0,3,0,0,3,194,"[0, 0, 0]"
215,35400,0,240,50208,1,0,16,5000,0,3,0,0,3,194,"[0, 0, 0]"
216,35390,0,240,50207,1,0,16,5000,0,3,0,0,3,194,"[0, 0, 0]"
217,35380,0,240,50211,1,0,16,5000,0,3,0,0,3,194,"[0, 0, 0]"
218,35370,0,240,50210,1,0,16,5000,0,3,0,0,3,194,"[0, 0, 0]"
219,35360,0,240,50209,1,0,16,5000,0,3,0,0,3,194,"[0, 0, 0]"
220,35350,0,240,50213,1,0,16,5000,0,3,0,0,3,194,"[0, 0, 0]"
221,35340,0,240,50002,1,0,16,500,0,0,0,0,0,194,"[0, 0, 0]"
222,35330,0,240,50001,1,0,16,100,0,0,0,0,0,194,"[0, 0, 0]"
299,30000,0,230,50292,1,0,16,0,200,0,0,0,0,194,"[0, 0, 0]"
