m_id,m_MapID,m_EquipID,m_AndCond,m_TrigCondID
0,0,0,194,"[0, 0, 0]"
1,0,2,194,"[0, 0, 0]"
2,0,3,194,"[0, 0, 0]"
3,0,4,194,"[0, 0, 0]"
4,0,5,194,"[0, 0, 0]"
6,0,7,194,"[0, 0, 0]"
7,0,8,194,"[94063, 0, 0]"
8,0,9,194,"[94063, 0, 0]"
10,0,11,194,"[94064, 0, 0]"
11,0,12,194,"[3000, 0, 0]"
12,0,13,194,"[3000, 0, 0]"
14,0,15,194,"[94052, 0, 0]"
16,0,17,194,"[94053, 0, 0]"
18,0,19,194,"[94054, 0, 0]"
20,0,21,194,"[94055, 0, 0]"
22,0,23,194,"[94056, 0, 0]"
24,0,25,194,"[94056, 0, 0]"
26,0,27,194,"[94057, 0, 0]"
28,0,29,194,"[94058, 0, 0]"
30,0,31,194,"[94059, 0, 0]"
201,0,202,194,"[0, 0, 0]"
202,0,203,194,"[0, 0, 0]"
203,0,204,194,"[0, 0, 0]"
204,0,205,194,"[0, 0, 0]"
206,0,207,194,"[0, 0, 0]"
207,0,208,194,"[94063, 0, 0]"
208,0,209,194,"[94063, 0, 0]"
210,0,211,194,"[94064, 0, 0]"
211,0,212,194,"[3000, 0, 0]"
212,0,213,194,"[3000, 0, 0]"
214,0,215,194,"[94052, 0, 0]"
216,0,217,194,"[94053, 0, 0]"
218,0,219,194,"[94054, 0, 0]"
220,0,221,194,"[94055, 0, 0]"
222,0,223,194,"[94056, 0, 0]"
224,0,225,194,"[94056, 0, 0]"
226,0,227,194,"[94057, 0, 0]"
228,0,229,194,"[94058, 0, 0]"
230,0,231,194,"[94059, 0, 0]"
401,0,402,194,"[0, 0, 0]"
402,0,403,194,"[0, 0, 0]"
403,0,404,194,"[0, 0, 0]"
404,0,405,194,"[0, 0, 0]"
406,0,407,194,"[0, 0, 0]"
407,0,408,194,"[94063, 0, 0]"
408,0,409,194,"[94063, 0, 0]"
410,0,411,194,"[94064, 0, 0]"
411,0,412,194,"[3000, 0, 0]"
412,0,413,194,"[3000, 0, 0]"
414,0,415,194,"[94052, 0, 0]"
416,0,417,194,"[94053, 0, 0]"
418,0,419,194,"[94054, 0, 0]"
420,0,421,194,"[94055, 0, 0]"
422,0,423,194,"[94056, 0, 0]"
424,0,425,194,"[94056, 0, 0]"
426,0,427,194,"[94057, 0, 0]"
428,0,429,194,"[94058, 0, 0]"
430,0,431,194,"[94059, 0, 0]"
601,0,602,194,"[0, 0, 0]"
602,0,603,194,"[0, 0, 0]"
603,0,604,194,"[0, 0, 0]"
604,0,605,194,"[0, 0, 0]"
606,0,607,194,"[0, 0, 0]"
607,0,608,194,"[94063, 0, 0]"
608,0,609,194,"[94063, 0, 0]"
610,0,611,194,"[94064, 0, 0]"
611,0,612,194,"[3000, 0, 0]"
612,0,613,194,"[3000, 0, 0]"
614,0,615,194,"[94052, 0, 0]"
616,0,617,194,"[94053, 0, 0]"
618,0,619,194,"[94054, 0, 0]"
620,0,621,194,"[94055, 0, 0]"
622,0,623,194,"[94056, 0, 0]"
624,0,625,194,"[94056, 0, 0]"
626,0,627,194,"[94057, 0, 0]"
628,0,629,194,"[94058, 0, 0]"
630,0,631,194,"[94059, 0, 0]"
801,0,802,194,"[0, 0, 0]"
802,0,803,194,"[0, 0, 0]"
803,0,804,194,"[0, 0, 0]"
804,0,805,194,"[0, 0, 0]"
806,0,807,194,"[0, 0, 0]"
807,0,808,194,"[94063, 0, 0]"
808,0,809,194,"[94063, 0, 0]"
810,0,811,194,"[94064, 0, 0]"
811,0,812,194,"[3000, 0, 0]"
812,0,813,194,"[3000, 0, 0]"
814,0,815,194,"[94052, 0, 0]"
816,0,817,194,"[94053, 0, 0]"
818,0,819,194,"[94054, 0, 0]"
820,0,821,194,"[94055, 0, 0]"
822,0,823,194,"[94056, 0, 0]"
824,0,825,194,"[94056, 0, 0]"
826,0,827,194,"[94057, 0, 0]"
828,0,829,194,"[94058, 0, 0]"
830,0,831,194,"[94059, 0, 0]"
1001,0,1002,194,"[0, 0, 0]"
1002,0,1003,194,"[0, 0, 0]"
1003,0,1004,194,"[0, 0, 0]"
1004,0,1005,194,"[0, 0, 0]"
1006,0,1007,194,"[0, 0, 0]"
1007,0,1008,194,"[94063, 0, 0]"
1008,0,1009,194,"[94063, 0, 0]"
1010,0,1011,194,"[94064, 0, 0]"
1011,0,1012,194,"[3000, 0, 0]"
1012,0,1013,194,"[3000, 0, 0]"
1014,0,1015,194,"[94052, 0, 0]"
1016,0,1017,194,"[94053, 0, 0]"
1018,0,1019,194,"[94054, 0, 0]"
1020,0,1021,194,"[94055, 0, 0]"
1022,0,1023,194,"[94056, 0, 0]"
1024,0,1025,194,"[94056, 0, 0]"
1026,0,1027,194,"[94057, 0, 0]"
1028,0,1029,194,"[94058, 0, 0]"
1030,0,1031,194,"[94059, 0, 0]"
1201,0,1202,194,"[0, 0, 0]"
1202,0,1203,194,"[0, 0, 0]"
1203,0,1204,194,"[0, 0, 0]"
1204,0,1205,194,"[0, 0, 0]"
1206,0,1207,194,"[0, 0, 0]"
1207,0,1208,194,"[94063, 0, 0]"
1208,0,1209,194,"[94063, 0, 0]"
1210,0,1211,194,"[94064, 0, 0]"
1211,0,1212,194,"[3000, 0, 0]"
1212,0,1213,194,"[3000, 0, 0]"
1214,0,1215,194,"[94052, 0, 0]"
1216,0,1217,194,"[94053, 0, 0]"
1218,0,1219,194,"[94054, 0, 0]"
1220,0,1221,194,"[94055, 0, 0]"
1222,0,1223,194,"[94056, 0, 0]"
1224,0,1225,194,"[94056, 0, 0]"
1226,0,1227,194,"[94057, 0, 0]"
1228,0,1229,194,"[94058, 0, 0]"
1230,0,1231,194,"[94059, 0, 0]"
1401,0,1402,194,"[0, 0, 0]"
1402,0,1403,194,"[0, 0, 0]"
1403,0,1404,194,"[0, 0, 0]"
1404,0,1405,194,"[0, 0, 0]"
1406,0,1407,194,"[0, 0, 0]"
1407,0,1408,194,"[94063, 0, 0]"
1408,0,1409,194,"[94063, 0, 0]"
1410,0,1411,194,"[94064, 0, 0]"
1411,0,1412,194,"[3000, 0, 0]"
1412,0,1413,194,"[3000, 0, 0]"
1414,0,1415,194,"[94052, 0, 0]"
1416,0,1417,194,"[94053, 0, 0]"
1418,0,1419,194,"[94054, 0, 0]"
1420,0,1421,194,"[94055, 0, 0]"
1422,0,1423,194,"[94056, 0, 0]"
1424,0,1425,194,"[94056, 0, 0]"
1426,0,1427,194,"[94057, 0, 0]"
1428,0,1429,194,"[94058, 0, 0]"
1430,0,1431,194,"[94059, 0, 0]"
2000,0,32,194,"[103202, 0, 0]"
2001,10009,33,194,"[103202, 0, 0]"
2002,10009,34,194,"[103202, 0, 0]"
12328,10009,30648,194,"[103202, 0, 0]"
2003,0,232,194,"[103202, 0, 0]"
2004,10009,233,194,"[103202, 0, 0]"
2005,10009,234,194,"[103202, 0, 0]"
12329,10009,30649,194,"[103202, 0, 0]"
2006,0,432,194,"[103202, 0, 0]"
2007,10009,433,194,"[103202, 0, 0]"
2008,10009,434,194,"[103202, 0, 0]"
12330,10009,30650,194,"[103202, 0, 0]"
2009,0,632,194,"[103202, 0, 0]"
2010,10009,633,194,"[103202, 0, 0]"
2011,10009,634,194,"[103202, 0, 0]"
12331,10009,30651,194,"[103202, 0, 0]"
2012,0,832,194,"[103202, 0, 0]"
2013,10009,833,194,"[103202, 0, 0]"
2014,10009,834,194,"[103202, 0, 0]"
12332,10009,30652,194,"[103202, 0, 0]"
2015,0,1032,194,"[103202, 0, 0]"
2016,10009,1033,194,"[103202, 0, 0]"
2017,10009,1034,194,"[103202, 0, 0]"
12333,10009,30653,194,"[103202, 0, 0]"
2018,0,1232,194,"[103202, 0, 0]"
2019,10009,1233,194,"[103202, 0, 0]"
