m_id,m_InvokeTiming,m_InvokeCondition,m_TargetType,m_ModifyType,m_ModifyStatus,m_HitRatio,m_HitTypes,m_CalcType,m_Values,m_Turns,m_OverwriteCount,m_Counts,m_OrderPriority,m_NextPriority,m_ShieldDamage,m_IgnoreWeak,m_CriticalRatio,m_Suicide,m_LotteryAilment,m_AilmentInvokeCondition,m_AddAilment,m_CalcTypeAilment,m_ValueAilment,m_WeakLockID,m_DelayedSkill,m_SubAilment,m_CalcTypeResist,m_AddResistWeapon,m_AddResistMagic,m_ResistID,m_ResistAilment,m_ResistAilmentID,m_Reinforcement,m_WeakChangeID,m_EnhancedSkillID,m_SummonGuestID,m_OverrideWeapon,m_OverrideMagic,m_SkillAvailMagnificationCondition,m_SkillAvailMagnificationConditionArray,m_SkillAvailMagnification,m_SkillAvailMagnificationArray,m_InvocationProbability,m_ModeChangeID
0,cc00,0,cc00,cc00,cc00,100,"[0, 0, 0, 0]",cc00,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,"[0, 0, 0, 0]",0,0,0,194,0,194,194,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",cc00,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",cc00,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0, 0, 0]",0,0,cc00,0,0,0,0,0,"[0, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0]",0,0
1,cc01,0,cc01,cc01,cc05,100,"[0, 0, 0, 0]",cc01,"[65466, 65486, 65486, 65486]","[0, 0, 0, 0]",194,"[0, 0, 0, 0]",0,0,0,194,0,194,194,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",cc00,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",cc00,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0, 0, 0]",0,0,cc00,0,0,0,0,0,"[0, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0]",0,0
4,cc01,0,cc05,cc05,cc00,100,"[0, 0, 0, 0]",cc00,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,"[0, 0, 0, 0]",0,0,0,194,0,194,194,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",cc00,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",cc00,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0, 0, 0]",0,0,cc00,0,0,0,0,0,"[0, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0]",0,0
5,cc01,0,cc18,cc0d,cc05,100,"[0, 0, 0, 0]",cc03,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,"[0, 0, 0, 0]",0,0,0,194,0,194,194,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",cc00,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",cc00,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0, 0, 0]",0,0,cc00,0,0,0,0,0,"[0, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0]",0,0
50,cc00,0,cc00,cc00,cc00,100,"[0, 0, 0, 0]",cc00,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,"[0, 0, 0, 0]",0,0,0,194,0,194,194,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",cc00,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",cc00,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0, 0, 0]",0,0,cc00,0,0,0,0,0,"[0, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0]",0,0
1000,cc01,0,cc01,cc01,cc05,100,"[0, 0, 0, 0]",cc02,"[65366, 65336, 65296, 65186]","[0, 0, 0, 0]",194,"[0, 0, 0, 0]",0,0,0,194,0,194,194,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",cc00,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",cc00,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0, 0, 0]",0,0,cc00,0,0,0,0,0,"[0, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0]",0,0
1001,cc01,0,cc02,cc01,cc05,100,"[0, 0, 0, 0]",cc02,"[65386, 65361, 65321, 65276]","[0, 0, 0, 0]",194,"[0, 0, 0, 0]",0,0,0,194,0,194,194,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",cc00,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",cc00,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0, 0, 0]",0,0,cc00,0,0,0,0,0,"[0, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0]",0,0
1002,cc01,0,cc03,cc01,cc05,100,"[0, 0, 0, 0]",cc02,"[65461, 65446, 65426, 65386]","[0, 0, 0, 0]",194,"[0, 0, 0, 0]",0,0,0,194,0,194,194,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",cc00,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",cc00,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0, 0, 0]",0,0,cc00,0,0,0,0,0,"[0, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0]",0,0
63503,cc01,0,cc0e,cc01,cc00,100,"[0, 0, 0, 0]",cc00,"[0, 0, 0, 0]","[2, 2, 2, 2]",194,"[0, 0, 0, 0]",0,0,0,194,0,194,194,0,"[162, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[204, 3, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0]","[15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",cc00,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",cc00,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0, 0, 0]",0,0,cc00,0,0,0,0,0,"[0, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0]",0,0
1003,cc02,12,cc05,cc01,cc00,100,"[0, 0, 0, 0]",cc00,"[0, 0, 0, 0]","[0, 0, 0, 0]",194,"[0, 0, 0, 0]",0,0,0,194,0,194,194,0,"[203, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[204, 3, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0]","[65486, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",cc00,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",cc00,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0, 0, 0]",0,0,cc00,0,0,0,0,0,"[0, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0]",0,0
1004,cc01,0,cc01,cc01,cc05,100,"[0, 0, 0, 0]",cc01,"[65366, 65336, 65296, 65186]","[0, 0, 0, 0]",194,"[0, 0, 0, 0]",0,0,0,194,0,194,194,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0, 204, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",cc00,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",cc00,"[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0, 0, 0, 0]",0,0,cc00,0,0,0,0,0,"[0, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 0]",0,0
