m_id,m_Repeat,m_HoldTime,m_AvailTime,m_Animations,m_PlayTimes,m_PlayRates,m_Effects,m_InvokeTimes,m_EffectLayout,m_OffsetsH,m_OffsetsV,m_Sounds,m_SoundTimes,m_Voices1,m_Voices2,m_Voices3,m_VoiceTimes,m_Texts,m_TextTime,m_CharaVisibility,m_VisibilityTarget,m_VisibilityStartTime
0,1,0.0,0.0,"[204, 0, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[204, 0, 204]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
1,1,0.0,0.0,"[204, 0, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[204, 0, 204]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
2,1,0.5,0.0,"[204, 0, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[204, 0, 204]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
3,1,1.5,0.800000011920929,"[204, 0, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[204, 0, 204]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
500,1,0.800000011920929,0.4000000059604645,"[204, 18, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[132, 133, 0]","[0.20000000298023224, 0.30000001192092896, 0.0]","[204, 1, 204]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[218, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
501,1,0.800000011920929,0.4000000059604645,"[204, 19, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[116, 117, 0]","[0.20000000298023224, 0.30000001192092896, 0.0]","[204, 1, 204]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[740, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
502,1,0.800000011920929,0.4000000059604645,"[204, 20, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[128, 129, 0]","[0.20000000298023224, 0.30000001192092896, 0.0]","[204, 1, 204]","[-180.0, 0.0, 0.0]","[80.0, 0.0, 0.0]","[220, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
503,1,0.800000011920929,0.4000000059604645,"[204, 21, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[125, 126, 0]","[0.20000000298023224, 0.30000001192092896, 0.0]","[204, 1, 204]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[219, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
504,1,0.800000011920929,0.4000000059604645,"[204, 22, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[125, 126, 0]","[0.20000000298023224, 0.30000001192092896, 0.0]","[204, 1, 204]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[742, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
505,1,0.800000011920929,0.4000000059604645,"[204, 23, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[121, 119, 0]","[0.20000000298023224, 0.30000001192092896, 0.0]","[204, 1, 204]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[741, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
506,1,0.800000011920929,0.4000000059604645,"[204, 24, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[122, 123, 0]","[0.20000000298023224, 0.30000001192092896, 0.0]","[204, 1, 204]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[219, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
507,1,0.800000011920929,0.4000000059604645,"[204, 25, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[128, 618, 0]","[0.20000000298023224, 0.30000001192092896, 0.0]","[204, 1, 204]","[-180.0, 0.0, 0.0]","[80.0, -9999.0, 0.0]","[220, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
600,1,0.30000001192092896,0.30000001192092896,"[204, 18, 204]","[0.0, 0.0, 0.0]","[1.0, 1.0, 1.0]","[132, 133, 0]","[0.0, 0.10000000149011612, 0.0]","[204, 1, 204]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[218, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0]","[0, 0]","[0.0, 0.0]"
