m_id,m_Category,m_VoiceType
0,none,none
1,etc,name
2,etc,bow1
3,etc,bow2
2290,etc,bow3
2538,etc,bow4
2539,etc,bow5
2540,etc,bow6
2541,etc,bow7
2542,etc,bow8
2543,etc,bow9
4,etc,aha1
5,etc,aha2
6,etc,aha3
7,etc,aha4
8,etc,aha5
9,etc,aha6
2291,etc,aha7
2292,etc,aha8
2544,etc,aha9
2545,etc,aha10
10,etc,bye1
11,etc,bye2
12,etc,surprise1
13,etc,surprise2
14,etc,surprise3
2546,etc,surprise4
2547,etc,surprise5
2548,etc,surprise6
2549,etc,surprise7
15,etc,anger1
16,etc,anger2
17,etc,anger3
2550,etc,anger4
2551,etc,anger5
18,etc,apology
2552,etc,sad
19,etc,sad1
20,etc,sad2
2553,etc,sad3
21,etc,happy1
22,etc,happy2
23,etc,happy3
2554,etc,happy4
2555,etc,happy5
2556,etc,happy6
2557,etc,happy7
2558,etc,happy8
24,etc,joy1
25,etc,joy2
26,etc,joy3
2559,etc,joy4
27,etc,laugh1
28,etc,laugh2
29,etc,laugh3
2293,etc,laugh4
2411,etc,laugh5
2412,etc,laugh6
30,etc,mortify1
31,etc,mortify2
32,etc,mortify3
2560,etc,mortify4
33,etc,scared1
34,etc,scared2
35,etc,scared3
2561,etc,scared4
36,etc,thank1
37,etc,thank2
38,etc,thank3
2294,etc,thank4
2295,etc,thank5
2296,etc,thank6
39,etc,worry1
40,etc,worry2
41,etc,worry3
2562,etc,worry4
42,etc,found1
43,etc,found2
44,etc,found3
2297,etc,found4
2298,etc,found5
2299,etc,found6
45,etc,yes1
46,etc,yes2
2563,etc,yes3
2564,etc,yes4
2565,etc,yes5
2566,etc,yes6
2567,etc,yes7
2568,etc,yes8
47,etc,no1
48,etc,no2
49,etc,positive1
50,etc,positive2
2569,etc,positive2_A
2570,etc,positive2_B
51,etc,negation1
52,etc,negation2
2571,etc,negation3
2572,etc,negation4
53,etc,ready1
54,etc,ready2
2573,etc,ready3
2574,etc,doubt
55,etc,doubt1
56,etc,doubt2
2300,etc,doubt3
2301,etc,doubt4
2302,etc,doubt5
57,etc,thought1
58,etc,thought2
2584,etc,thought3
59,etc,truth1
60,etc,truth2
2575,etc,truth3
61,etc,fc1
62,etc,fc2
63,etc,fc3
64,etc,fc4
65,etc,fc5
66,etc,partyin
2303,etc,etc1
2688,etc,etc1_A
2689,etc,etc1_B
2304,etc,etc2
2690,etc,etc2_A
2691,etc,etc2_B
2305,etc,etc3
2692,etc,etc3_A
2693,etc,etc3_B
2306,etc,etc4
2307,etc,etc5
2308,etc,etc6
2309,etc,etc7
2415,etc,etc8
2416,etc,etc9
2417,etc,etc10
2576,etc,etc11
2577,etc,etc12
2578,etc,etc13
2579,etc,etc14
67,gacha,get
68,btl,start1
69,btl,start2
70,btl,symbol
71,btl,boss1
72,btl,boss2
2310,btl,boss3
2418,btl,boss4
2419,btl,boss5
2420,btl,boss6
2421,btl,boss7
2694,btl,boss8
2695,btl,boss9
2696,btl,boss10
2697,btl,boss11
73,btl,beat1
74,btl,beat2
75,btl,beatnarrow
76,btl,turnstart1
77,btl,turnstart2
78,btl,tslowhp
79,btl,tbreak1
80,btl,tbreak2
81,btl,attack1
82,btl,attack2
83,btl,attack3
84,btl,attack4
85,btl,burst1lv1
86,btl,burst1lv2
87,btl,burst2lv1
88,btl,burst2lv2
89,btl,burst3lv1
90,btl,burst3lv2
91,btl,deathblow1
92,btl,deathblow2
93,btl,weak1
94,btl,weak2
95,btl,break1
96,btl,break2
97,btl,changeback
98,btl,changefront1
99,btl,changefront2
100,btl,changefront3
101,btl,avoidatk
102,btl,debuff
103,btl,restorebymate1
104,btl,restorebymate2
2580,btl,restorebymate3
105,btl,retrieve1
106,btl,retrieve2
107,btl,damage1lv1
108,btl,damage1lv2
109,btl,damage2lv1
110,btl,damage2lv2
111,btl,damage3lv1
112,btl,damage3lv2
113,btl,dead1
114,btl,dead2
115,btl,deadall
116,btl,atkp1lv
117,btl,atkp2lv
118,btl,atkp3lv
119,btl,atkp4lv
120,btl,atkm1lv
121,btl,atkm2lv
122,btl,atkm3lv
123,btl,atkm4lv
124,btl,recoverhp
125,btl,recoversp
126,btl,recoverbad
127,btl,addbuff
128,btl,addresistbuff
129,btl,adddebuff
130,btl,addresistdebuff
131,btl,provoke
132,btl,abillity1
133,btl,abillity2
134,btl,abillity3
135,btl,abillity4
136,btl,abillity5
137,btl,abillity6
138,btl,abillity7
139,btl,abillity8
140,btl,abillity9
146,btl,abillity9_A
147,btl,abillity9_B
2698,btl,abillity10
2699,btl,abillity11
2700,btl,abillity12
2701,btl,abillity13
2702,btl,abillity14
2703,btl,abillity15
2704,btl,abillity16
2705,btl,abillity17
2706,btl,abillity18
2707,btl,abillity19
2708,btl,abillity20
2709,btl,abillity21
2710,btl,abillity22
2711,btl,abillity23
2712,btl,abillity24
2713,btl,abillity25
2422,btl,abillity_job1
2423,btl,abillity_job2
2424,btl,abillity_job3
2425,btl,abillity_job4
141,gacha,join1
142,gacha,join2
143,gacha,join3
144,gacha,partyin
145,gacha,etc1
148,gacha,profile
2311,etc,prepare1
2312,etc,prepare2
2313,etc,prepare3
2314,etc,prepare4
2315,etc,prepare5
2316,etc,prepare6
2317,etc,prepare7
2581,etc,prepare8
2318,etc,apology1
2319,etc,apology2
2582,etc,apology3
2583,etc,event1
1000,etc,bow1
2585,etc,bow1_A
1087,etc,bow1_B
1001,etc,bow2
2335,etc,bow2_A
1088,etc,bow2_B
1089,etc,bow2_C
2366,etc,bow3
2367,etc,bow4
1002,etc,aha1
1090,etc,aha1_B
1003,etc,aha2
2586,etc,aha2_A
1091,etc,aha2_B
1092,etc,aha3
1093,etc,aha4
2261,etc,aha5
2262,etc,aha6
2263,etc,aha7
2264,etc,aha8
2265,etc,aha9
1004,etc,bye
1094,etc,bye_B
2368,etc,bye1
2369,etc,bye2
2370,etc,bye3
2371,etc,bye4
2255,etc,surprise
1005,etc,surprise1
1095,etc,surprise1_B
1006,etc,surprise2
1096,etc,surprise2_B
1097,etc,surprise3
2266,etc,surprise4
2267,etc,surprise5
1007,etc,anger
1098,etc,anger_B
2372,etc,anger1
1099,etc,anger2
2268,etc,anger3
2373,etc,anger4
1008,etc,sad
1100,etc,sad_B
2374,etc,sad1
1101,etc,sad2
1102,etc,sad2_B
1103,etc,sad3
1009,etc,happy
2587,etc,happy_A
1084,etc,happy_B
1104,etc,happy_C
2334,etc,happy1
2254,etc,happy2
2375,etc,happy3
1010,etc,joy
2588,etc,joy_A
1105,etc,joy_B
2376,etc,joy1
1106,etc,joy2
2589,etc,joy3
1011,etc,laugh1
2590,etc,laugh1_A
1107,etc,laugh1_B
1012,etc,laugh2
2591,etc,laugh2_A
2592,etc,laugh2_B
2269,etc,laugh3
2270,etc,laugh4
2714,etc,laugh5
2715,etc,laugh6
2716,etc,laugh7
1081,etc,mortify
1013,etc,mortify1
2593,etc,mortify1_A
1108,etc,mortify1_B
1014,etc,mortify2
2594,etc,mortify2_B
2410,etc,mortify3
1015,etc,scared
2271,etc,scared1
2272,etc,scared2
2273,etc,scared3
1016,etc,thank
1109,etc,thank_B
2281,etc,thank1
2282,etc,thank2
2595,etc,thank3
1017,etc,worry
1110,etc,worry_B
2377,etc,worry1
2378,etc,worry2
2596,etc,worry3
1082,etc,found
2597,etc,found_A
2598,etc,found_B
1018,etc,found1
1111,etc,found1_B
1019,etc,found2
2379,etc,found3
2380,etc,found4
2381,etc,found5
2382,etc,found6
1083,etc,yes
2599,etc,yes_B
1020,etc,yes1
1085,etc,yes1_B
1021,etc,yes2
2276,etc,yes3
1022,etc,no
1112,etc,no_B
2342,etc,no1
2600,etc,no1_B
2343,etc,no2
2601,etc,no2_B
2383,etc,no3
1023,etc,positive
2602,etc,positive_A
1113,etc,positive_B
2338,etc,positive1
2384,etc,positive2
1024,etc,negation
2603,etc,negation_A
1114,etc,negation_B
2339,etc,negation1
2385,etc,negation2
2604,etc,negation2_B
1025,etc,ready
2605,etc,ready_A
1115,etc,ready_B
2340,etc,ready1
2341,etc,ready2
2606,etc,ready3
1026,etc,doubt
1116,etc,doubt_B
2386,etc,doubt1
1086,etc,doubt2
2607,etc,doubt2_B
1027,etc,thought
2426,etc,thought1
1117,etc,thought_B
1118,etc,thought2
1028,etc,truth
2427,etc,truth1
1119,etc,truth_B
2608,etc,truth2
1029,etc,dislike
2428,etc,dislike1
1030,etc,apology
2277,etc,apology1
2278,etc,apology2
2279,etc,apology3
2280,etc,apology4
2332,etc,attack1
2333,etc,attack2
2274,etc,panic1
2275,etc,panic2
2320,etc,panic2_A
2321,etc,panic2_B
2322,etc,panic3
1032,etc,instruct
2283,etc,instruct1
2284,etc,instruct2
2285,etc,instruct3
2286,etc,instruct4
2287,etc,instruct5
2288,etc,instruct6
1033,etc,inn
1034,etc,blacksmith
2387,etc,ecstasy
2388,etc,pleasure
1031,etc,etc
1035,etc,etc1
2609,etc,etc1B
2610,etc,etc1_A
2323,etc,etc1_B
1036,etc,etc2
2611,etc,etc2B
2336,etc,etc2_A
2324,etc,etc2_B
1037,etc,etc3
2612,etc,etc3B
2613,etc,etc3_A
2325,etc,etc3_B
1038,etc,etc4
2614,etc,etc4B
2615,etc,etc4_A
2326,etc,etc4_B
1039,etc,etc5
2616,etc,etc5B
2337,etc,etc5_A
2289,etc,etc5_B
1040,etc,etc6
2617,etc,etc6B
2618,etc,etc6_A
2327,etc,etc6_B
2619,etc,etc6_C
1041,etc,etc7
2620,etc,etc7B
