m_id,m_DebugName,m_SheetAssetPath,m_InitialLoad
0,SHEET_NONE,,194
1,BGM_COMMON,/Game/Sound/Resource/1_0_0/BGM/Bgm_Common,195
2,BGM_EVENT,/Game/Sound/Resource/1_0_0/BGM_DLC/Bgm_Event,195
3,BGM_COMMON_110,/Game/Sound/Resource/1_0_0/BGM_DLC/Bgm_Common_110,195
4,BGM_EVENT_110,/Game/Sound/Resource/1_0_0/BGM_DLC/Bgm_Event_110,195
6,BGM_CLB_BD1_150,/Game/Sound/Resource/1_0_0/BGM_DLC/BGM_CLB_BD1_150,195
7,BGM_CLB_BD2_150,/Game/Sound/Resource/1_0_0/BGM_DLC/BGM_CLB_BD2_150,195
1000,SE_COMMON,/Game/Sound/Resource/1_0_0/SE/Common,195
1001,SE_BATTLE,/Game/Sound/Resource/1_0_0/SE/Battle,195
1002,SE_EVENT,/Game/Sound/Resource/1_0_0/SE/Event,195
1003,SE_ENVIRONMENTE,/Game/Sound/Resource/1_0_0/SE/Environmente,195
1004,SE_EVENT2,/Game/Sound/Resource/1_0_0/SE/Event2,195
2000,Npc_All_ja,/Game/Sound/Resource/1_0_0/VO/ja/CueSheet_VO_etc_All_ja,195
2001,Npc_All2_ja,/Game/Sound/Resource/1_0_0/VO_DLC/ja/CueSheet_VO_etc_All2_ja,195
2003,Npc_Twn_ja,/Game/Sound/Resource/1_0_0/VO_DLC/ja/CueSheet_VO_TWN_ja,195
6054,ClbBD_Airy,/Game/Sound/Resource/1_0_0/VO_DLC/ja/CueSheet_VO_etc_ClbBD_Airy_ja,195
2002,Npc_Arena_ja,/Game/Sound/Resource/1_0_0/VO_DLC/ja/CueSheet_VO_ARENA_ja,195
6040,Npc_Arena_121_ja,/Game/Sound/Resource/1_0_0/VO_DLC/ja/CueSheet_VO_ARENA_121_ja,194
6041,Npc_Arena_131ja,/Game/Sound/Resource/1_0_0/VO_DLC/ja/CueSheet_VO_ARENA_131_ja,194
6042,Npc_Arena_141ja,/Game/Sound/Resource/1_0_0/VO_DLC/ja/CueSheet_VO_ARENA_141_ja,194
6043,Npc_Arena_151ja,/Game/Sound/Resource/1_0_0/VO_DLC/ja/CueSheet_VO_ARENA_151_ja,194
6044,Npc_Arena_161ja,/Game/Sound/Resource/1_0_0/VO_DLC/ja/CueSheet_VO_ARENA_161_ja,194
6045,Npc_Arena_171ja,/Game/Sound/Resource/1_0_0/VO_DLC/ja/CueSheet_VO_ARENA_171_ja,194
6046,Npc_Arena_PC134_ja,/Game/Sound/Resource/1_0_0/VO_DLC/ja/CueSheet_VO_ARENA_PC134_ja,194
6047,Npc_Arena_PC126_ja,/Game/Sound/Resource/1_0_0/VO_DLC/ja/CueSheet_VO_ARENA_PC126_ja,194
6049,Npc_Arena_PC141_ja,/Game/Sound/Resource/1_0_0/VO_DLC/ja/CueSheet_VO_ARENA_PC141_ja,194
6050,Npc_Arena_PC155_ja,/Game/Sound/Resource/1_0_0/VO_DLC/ja/CueSheet_VO_ARENA_PC155_ja,194
3000,Ply_PC001_ja,/Game/Sound/Resource/1_0_0/VO/ja/CueSheet_VO_etc_PC001_ja,194
3001,Ply_PC002_ja,/Game/Sound/Resource/1_0_0/VO/ja/CueSheet_VO_etc_PC002_ja,194
3002,Ply_PC003_ja,/Game/Sound/Resource/1_0_0/VO/ja/CueSheet_VO_etc_PC003_ja,194
3003,Ply_PC004_ja,/Game/Sound/Resource/1_0_0/VO/ja/CueSheet_VO_etc_PC004_ja,194
3004,Ply_PC005_ja,/Game/Sound/Resource/1_0_0/VO/ja/CueSheet_VO_etc_PC005_ja,194
3005,Ply_PC006_ja,/Game/Sound/Resource/1_0_0/VO/ja/CueSheet_VO_etc_PC006_ja,194
3006,Ply_PC007_ja,/Game/Sound/Resource/1_0_0/VO/ja/CueSheet_VO_etc_PC007_ja,194
3007,Ply_PC008_ja,/Game/Sound/Resource/1_0_0/VO/ja/CueSheet_VO_etc_PC008_ja,194
3008,Ply_PC009_ja,/Game/Sound/Resource/1_0_0/VO/ja/CueSheet_VO_etc_PC009_ja,194
3009,Ply_PC010_ja,/Game/Sound/Resource/1_0_0/VO/ja/CueSheet_VO_etc_PC010_ja,194
3010,Ply_PC011_ja,/Game/Sound/Resource/1_0_0/VO/ja/CueSheet_VO_etc_PC011_ja,194
3011,Ply_PC012_ja,/Game/Sound/Resource/1_0_0/VO/ja/CueSheet_VO_etc_PC012_ja,194
3012,Ply_PC013_ja,/Game/Sound/Resource/1_0_0/VO/ja/CueSheet_VO_etc_PC013_ja,194
3013,Ply_PC014_ja,/Game/Sound/Resource/1_0_0/VO/ja/CueSheet_VO_etc_PC014_ja,194
3014,Ply_PC015_ja,/Game/Sound/Resource/1_0_0/VO/ja/CueSheet_VO_etc_PC015_ja,194
3015,Ply_PC016_ja,/Game/Sound/Resource/1_0_0/VO/ja/CueSheet_VO_etc_PC016_ja,194
3016,Ply_PC017_ja,/Game/Sound/Resource/1_0_0/VO/ja/CueSheet_VO_etc_PC017_ja,194
3017,Ply_PC018_ja,/Game/Sound/Resource/1_0_0/VO/ja/CueSheet_VO_etc_PC018_ja,194
3018,Ply_PC019_ja,/Game/Sound/Resource/1_0_0/VO/ja/CueSheet_VO_etc_PC019_ja,194
3019,Ply_PC020_ja,/Game/Sound/Resource/1_0_0/VO/ja/CueSheet_VO_etc_PC020_ja,194
3020,Ply_PC021_ja,/Game/Sound/Resource/1_0_0/VO/ja/CueSheet_VO_etc_PC021_ja,194
3021,Ply_PC022_ja,/Game/Sound/Resource/1_0_0/VO/ja/CueSheet_VO_etc_PC022_ja,194
