m_id,m_Type,m_TitleID,m_TabID,m_CategoryID,m_IconID,m_PlayerID,m_ApperStoryBookCondition,m_ApperQuestCondition,m_ArrayApperQuestCondition,m_ApperCondition,m_ArrayApperCondition,m_OpenCondition,m_ReadCondition,m_FirstRewardType,m_FirstArrayRewardType,m_FirstRewardItemID,m_FirstArrayRewardItemID,m_FirstRewardItemNum,m_FirstArrayRewardItemNum,m_RewardType,m_ArrayRewardType,m_RewardItemID,m_ArrayRewardItemID,m_RewardItemNum,m_ArrayRewardItemNum,m_SortPriority,m_EventID,m_BattleLevel,m_BattleGradeInvalid,m_RewardInfluenceWealth,m_RewardInfluencePower,m_RewardInfluenceFame,m_StartTimestamp,m_EndTimestamp,m_EndType,m_EndTypePlayerID
0,0,0,0,0,500,0,0,0,"[0, 0, 0]",0,[0],"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,0,0,194,0,0,0,0,0,0,0
16,1,9,17,2,9205,0,0,0,"[0, 0, 0]",103811,[0],"[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",270,"[0, 0, 0]",14,"[0, 0, 0]",50,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",390994,8223,0,194,0,0,0,0,0,0,0
17,1,10,17,1,9205,0,0,0,"[0, 0, 0]",0,[0],"[13, 14, 15, 16, 17, 0, 0, 0]","[0, 0, 0]",270,"[0, 0, 0]",14,"[0, 0, 0]",100,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",390995,8156,0,194,0,0,0,0,0,0,0
18,1,11,17,2,9205,0,0,1003010,"[0, 0, 0]",0,[0],"[18, 19, 20, 34, 0, 0, 0, 0]","[0, 0, 0]",240,"[0, 0, 0]",50222,"[0, 0, 0]",2,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",390996,8289,0,194,0,0,0,0,0,0,0
19,1,12,17,2,9205,0,0,2186020,"[0, 0, 0]",0,[0],"[21, 22, 35, 0, 0, 0, 0, 0]","[0, 0, 0]",240,"[0, 0, 0]",50222,"[0, 0, 0]",3,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",390997,8311,0,194,0,0,0,0,0,0,0
20,1,13,17,2,9205,0,0,2186040,"[0, 0, 0]",0,[0],"[23, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",240,"[0, 0, 0]",50224,"[0, 0, 0]",1,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",390998,8285,0,194,0,0,0,0,0,0,0
21,1,14,24,2,5103,0,0,1004030,"[0, 0, 0]",1000005,[0],"[24, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",100,"[0, 0, 0]",0,"[0, 0, 0]",5,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",230501,8266,0,194,0,0,0,0,0,0,0
22,1,15,24,2,5103,0,0,1004070,"[0, 0, 0]",1000005,[0],"[25, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",100,"[0, 0, 0]",0,"[0, 0, 0]",5,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",230502,8307,0,194,0,0,0,0,0,0,0
23,1,16,31,2,0,3,0,1004090,"[0, 0, 0]",0,[0],"[26, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",100,"[0, 0, 0]",0,"[0, 0, 0]",10,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",410001,8308,0,194,0,0,0,0,0,0,0
24,1,17,25,1,5104,0,0,1005010,"[0, 0, 0]",1000015,[0],"[27, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0]",100,"[0, 0, 0]",0,"[0, 0, 0]",5,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",0,"[0, 0, 0]",240501,8286,0,194,0,0,0,0,0,0,0
