m_id,m_TipsGroup,m_Priority,m_Rate,m_TipType,m_Parameter,m_TitleID,m_MessageID,m_TrigIsAND,m_TrigCondID,m_InvalIsAND,m_InvalCondID
0,0,0,100,0,0,62822,0,194,"[0, 0, 0]",194,"[0, 0, 0]"
9,1,1,100,4,0,62822,64064,195,"[0, 0, 0]",195,"[0, 0, 0]"
10,1,1,100,4,0,62822,64065,195,"[0, 0, 0]",195,"[0, 0, 0]"
1,1,2,80,1,10,62822,62824,195,"[0, 0, 0]",195,"[0, 0, 0]"
2,1,2,80,1,5,62822,62823,195,"[0, 0, 0]",195,"[0, 0, 0]"
3,1,3,80,2,10,62822,62826,195,"[0, 0, 0]",195,"[0, 0, 0]"
4,1,3,80,2,5,62822,62825,195,"[0, 0, 0]",195,"[0, 0, 0]"
5,1,4,80,3,10,62822,62828,195,"[0, 0, 0]",195,"[0, 0, 0]"
6,1,4,80,3,5,62822,62827,195,"[0, 0, 0]",195,"[0, 0, 0]"
7,1,5,100,0,0,62822,62829,195,"[0, 0, 0]",195,"[0, 0, 0]"
8,1,5,100,0,0,62822,62830,195,"[0, 0, 0]",195,"[0, 0, 0]"
20,4,1,80,5,6,62822,64353,195,"[0, 0, 0]",194,"[0, 0, 0]"
21,4,2,50,1,15,62822,64354,195,"[0, 0, 0]",194,"[0, 0, 0]"
22,4,3,50,7,75,62822,64355,195,"[0, 0, 0]",194,"[0, 0, 0]"
23,4,4,50,2,19,62822,64356,195,"[0, 0, 0]",194,"[0, 0, 0]"
24,4,5,100,0,0,62822,64357,195,"[0, 0, 0]",194,"[0, 0, 0]"
25,5,1,80,5,6,62822,64353,195,"[0, 0, 0]",194,"[0, 0, 0]"
26,5,2,50,1,15,62822,64354,195,"[0, 0, 0]",194,"[0, 0, 0]"
27,5,3,50,7,75,62822,64355,195,"[0, 0, 0]",194,"[0, 0, 0]"
28,5,4,50,2,39,62822,64356,195,"[0, 0, 0]",194,"[0, 0, 0]"
29,5,5,100,0,0,62822,64357,195,"[0, 0, 0]",194,"[0, 0, 0]"
