m_id,m_ResCategory,m_FilePath
0,0,
1,7,/Game/ExtTex/Character/UiTX_Ply_0001_J04/UiTX_Ply_0001_J04_1024.UiTX_Ply_0001_J04_1024
2,7,/Game/ExtTex/Character/UiTX_Ply_0002_J01/UiTX_Ply_0002_J01_1024.UiTX_Ply_0002_J01_1024
3,7,/Game/ExtTex/Character/UiTX_Ply_0003_J06/UiTX_Ply_0003_J06_1024.UiTX_Ply_0003_J06_1024
4,7,/Game/ExtTex/Character/UiTX_Ply_0004_J07/UiTX_Ply_0004_J07_1024.UiTX_Ply_0004_J07_1024
5,7,/Game/ExtTex/Character/UiTX_Ply_0005_J05/UiTX_Ply_0005_J05_1024.UiTX_Ply_0005_J05_1024
6,7,/Game/ExtTex/Character/UiTX_Ply_0006_J03/UiTX_Ply_0006_J03_1024.UiTX_Ply_0006_J03_1024
7,7,/Game/ExtTex/Character/UiTX_Ply_0007_J02/UiTX_Ply_0007_J02_1024.UiTX_Ply_0007_J02_1024
8,7,/Game/ExtTex/Character/UiTX_Ply_0008_J08/UiTX_Ply_0008_J08_1024.UiTX_Ply_0008_J08_1024
9,7,/Game/ExtTex/Character/UiTX_Ply_0009_J03/UiTX_Ply_0009_J03_1024.UiTX_Ply_0009_J03_1024
10,7,/Game/ExtTex/Character/UiTX_Ply_0010_J03/UiTX_Ply_0010_J03_1024.UiTX_Ply_0010_J03_1024
11,7,/Game/ExtTex/Character/UiTX_Ply_0011_J03/UiTX_Ply_0011_J03_1024.UiTX_Ply_0011_J03_1024
12,7,/Game/ExtTex/Character/UiTX_Ply_0012_J07/UiTX_Ply_0012_J07_1024.UiTX_Ply_0012_J07_1024
13,7,/Game/ExtTex/Character/UiTX_Ply_0013_J04/UiTX_Ply_0013_J04_1024.UiTX_Ply_0013_J04_1024
14,7,/Game/ExtTex/Character/UiTX_Ply_0014_J04/UiTX_Ply_0014_J04_1024.UiTX_Ply_0014_J04_1024
15,7,/Game/ExtTex/Character/UiTX_Ply_0015_J04/UiTX_Ply_0015_J04_1024.UiTX_Ply_0015_J04_1024
16,7,/Game/ExtTex/Character/UiTX_Ply_0016_J06/UiTX_Ply_0016_J06_1024.UiTX_Ply_0016_J06_1024
17,7,/Game/ExtTex/Character/UiTX_Ply_0017_J01/UiTX_Ply_0017_J01_1024.UiTX_Ply_0017_J01_1024
18,7,/Game/ExtTex/Character/UiTX_Ply_0018_J01/UiTX_Ply_0018_J01_1024.UiTX_Ply_0018_J01_1024
19,7,/Game/ExtTex/Character/UiTX_Ply_0019_J01/UiTX_Ply_0019_J01_1024.UiTX_Ply_0019_J01_1024
20,7,/Game/ExtTex/Character/UiTX_Ply_0020_J05/UiTX_Ply_0020_J05_1024.UiTX_Ply_0020_J05_1024
21,7,/Game/ExtTex/Character/UiTX_Ply_0021_J06/UiTX_Ply_0021_J06_1024.UiTX_Ply_0021_J06_1024
22,7,/Game/ExtTex/Character/UiTX_Ply_0022_J01/UiTX_Ply_0022_J01_1024.UiTX_Ply_0022_J01_1024
23,7,/Game/ExtTex/Character/UiTX_Ply_0023_J06/UiTX_Ply_0023_J06_1024.UiTX_Ply_0023_J06_1024
24,7,/Game/ExtTex/Character/UiTX_Ply_0024_J06/UiTX_Ply_0024_J06_1024.UiTX_Ply_0024_J06_1024
25,7,/Game/ExtTex/Character/UiTX_Ply_0025_J03/UiTX_Ply_0025_J03_1024.UiTX_Ply_0025_J03_1024
26,7,/Game/ExtTex/Character/UiTX_Ply_0026_J07/UiTX_Ply_0026_J07_1024.UiTX_Ply_0026_J07_1024
27,7,/Game/ExtTex/Character/UiTX_Ply_0027_J07/UiTX_Ply_0027_J07_1024.UiTX_Ply_0027_J07_1024
28,7,/Game/ExtTex/Character/UiTX_Ply_0028_J07/UiTX_Ply_0028_J07_1024.UiTX_Ply_0028_J07_1024
29,7,/Game/ExtTex/Character/UiTX_Ply_0029_J05/UiTX_Ply_0029_J05_1024.UiTX_Ply_0029_J05_1024
30,7,/Game/ExtTex/Character/UiTX_Ply_0030_J05/UiTX_Ply_0030_J05_1024.UiTX_Ply_0030_J05_1024
31,7,/Game/ExtTex/Character/UiTX_Ply_0031_J04/UiTX_Ply_0031_J04_1024.UiTX_Ply_0031_J04_1024
32,7,/Game/ExtTex/Character/UiTX_Ply_0032_J05/UiTX_Ply_0032_J05_1024.UiTX_Ply_0032_J05_1024
33,7,/Game/ExtTex/Character/UiTX_Ply_0033_J02/UiTX_Ply_0033_J02_1024.UiTX_Ply_0033_J02_1024
34,7,/Game/ExtTex/Character/UiTX_Ply_0034_J02/UiTX_Ply_0034_J02_1024.UiTX_Ply_0034_J02_1024
