m_id,m_ResCategory,m_FilePath
0,8,
1,8,/Game/Character/Resource/V1_0_0/Enm/Emd_Forest_0016_01_S.Emd_Forest_0016_01_S
2,8,/Game/Character/Resource/V1_0_0/Enm/Emd_Forest_0064_01_S.Emd_Forest_0064_01_S
3,8,/Game/Character/Resource/V1_0_0/Enm/Emd_Non_0072_01_S.Emd_Non_0072_01_S
4,8,/Game/Character/Resource/V1_0_0/Enm/Emd_Forest_0035_01_S.Emd_Forest_0035_01_S
5,8,/Game/Character/Resource/V1_0_0/Enm/Emd_Forest_0002_01_S.Emd_Forest_0002_01_S
6,8,/Game/Character/Resource/V1_0_0/Enm/Emd_Forest_0012_01_S.Emd_Forest_0012_01_S
7,8,/Game/Character/Resource/V1_0_0/Enm/Emd_Forest_0013_01_S.Emd_Forest_0013_01_S
8,8,/Game/Character/Resource/V1_0_0/Enm/Emd_Forest_0047_01_S.Emd_Forest_0047_01_S
9,8,/Game/Character/Resource/V1_0_0/Enm/Emd_Forest_0002_02_S.Emd_Forest_0002_02_S
10,8,/Game/Character/Resource/V1_0_0/Enm/Emd_Forest_0064_02_S.Emd_Forest_0064_02_S
11,8,/Game/Character/Resource/V1_0_0/Enm/Emd_Forest_0002_03_S.Emd_Forest_0002_03_S
12,8,/Game/Character/Resource/V1_0_0/Enm/Emd_Forest_0016_02_S.Emd_Forest_0016_02_S
13,8,/Game/Character/Resource/V1_0_0/Enm/Emd_Non_0087_01_S.Emd_Non_0087_01_S
14,8,/Game/Character/Resource/V1_0_0/Enm/Emd_Non_0092_01_M.Emd_Non_0092_01_M
15,8,/Game/Character/Resource/V1_0_0/Enm/Emd_Non_0079_07_S.Emd_Non_0079_07_S
16,8,/Game/Character/Resource/V1_0_0/Enm/Emd_Non_0080_07_M.Emd_Non_0080_07_M
17,8,/Game/Character/Resource/V1_0_0/Enm/Emd_Non_0094_01_M.Emd_Non_0094_01_M
18,8,/Game/Character/Resource/V1_0_0/Enm/Emd_Non_0079_02_S.Emd_Non_0079_02_S
19,8,/Game/Character/Resource/V1_0_0/Enm/Emd_Non_0094_02_M.Emd_Non_0094_02_M
