m_id,m_float_curve1,m_float_curve2,m_float_curve3,m_float_curve4,m_vector_curve1,m_vector_curve2,m_vector_curve3,m_color_curve1,m_color_curve2,m_color_curve3
0,,,,,,,,,,
1,CurveData/Sample/floatLinear,,,,CurveData/Sample/vectorLinear,,,CurveData/Sample/colorLinear,,
2,,,,,CurveData/Sample/testVCurve1,,,,,
3,,,,,,,,CurveData/Sample/testCCurve1,,
4,CurveData/Sample/testCurve_1,CurveData/Sample/testCurve_2,CurveData/Sample/testCurve_3,CurveData/Sample/testCurve_4,CurveData/Sample/testVCurve1,CurveData/Sample/testVCurve2,CurveData/Sample/testVCurve3,CurveData/Sample/testCCurve1,CurveData/Sample/testCCurve2,CurveData/Sample/testCCurve3
5,CurveData/Sample/IntensityCurve,,,,,,,,,
6,CurveData/Sample/RadiusCurve,,,,,,,,,
7,CurveData/Sample/FogDensityCurve,,,,,,,,,
8,,,,,,,,CurveData/Sample/FogColorCurve,,
9,CurveData/Sample/FogHeightCurve,,,,,,,,,
10,CurveData/Sample/FogOpacityCurve,,,,,,,,,
11,CurveData/Sample/FogDistanceCurve,,,,,,,,,
12,,,,,,,,CurveData/Sample/FogAlbedoColorCurve,,
13,,,,,,,,CurveData/Color/DungeonLightColor,,
14,CurveData/Float/DungeonLightIntensity,,,,,,,,,
15,CurveData/Float/DungeonLightRadius,,,,,,,,,
16,CurveData/Float/Map_PoLight_AttenRadius_A,,,,,,,,,
17,CurveData/Float/Map_PoLight_Intensity_A,,,,,,,,,
18,,,,,,,,CurveData/Color/255-250-210,,
19,CurveData/Float/0_100_Curve,,,,,,,,,
20,CurveData/Float/1300,,,,,,,,,
21,CurveData/Float/EnemyDeadFadeOut,,,,,,,,,
22,CurveData/Color/EnemyActionBlink_Float,,,,,,,,,
23,,,,,,,,CurveData/Color/EnemyBoostSelectedBlink,,
24,,,,,,,,CurveData/Color/EnemyBreakBlink,,
25,,,,,,,,CurveData/Color/EnemyCriticalBlink,,
26,,,,,,,,CurveData/Color/EnemyDamageBlink,,
27,,,,,,,,CurveData/Color/EnemySelectedBlink,,
28,,,,,CurveData/Vector/EnemyDeadKnockbackOffset,,,,,
29,,,,,CurveData/Vector/EnemyKnockbackOffset_B,,,,,
30,,,,,CurveData/Vector/EnemyKnockbackOffset_L,,,,,
31,,,,,CurveData/Vector/EnemyKnockbackOffset_M,,,,,
32,,,,,CurveData/Vector/EnemyKnockbackOffset_S,,,,,
33,,,,,,,,CurveData/Color/Map_PoLight_Color_A,,
34,,,,,,,,CurveData/Color/Map_PoLight_Color_B,,
35,,,,,CurveData/Vector/Map_PoLight_Position_A,,,,,
36,,,,,CurveData/Vector/Map_PoLight_Position_B,,,,,
37,CurveData/Float/2000,,,,,,,,,
38,CurveData/Float/2500,,,,,,,,,
39,CurveData/Float/3000,,,,,,,,,
40,,,,,,,,CurveData/Color/Map_PoLight_Color_C,,
41,CurveData/Float/1000,,,,,,,,,
42,CurveData/Float/50,,,,,,,,,
43,,,,,,,,CurveData/Color/Map_PoLight_Color_D,,
44,CurveData/Float/500,,,,,,,,,
45,,,,,CurveData/Vector/Map_LightRot_A,,,,,
46,CurveData/Float/20,,,,,,,,,
47,CurveData/Float/100,,,,,,,,,
48,,,,,,,,CurveData/Color/Map_PoLight_Color_E,,
49,,,,,,,,CurveData/Color/Map_PoLight_Color_F,,
50,CurveData/Float/0_60_Curve,,,,,,,,,
51,CurveData/Float/600,,,,,,,,,
52,CurveData/Float/15,,,,,,,,,
53,,,,,,,,CurveData/Color/Map_PoLight_Color_G,,
54,,,,,,,,CurveData/Color/Map_PoLight_Color_H,,
55,CurveData/Float/12,,,,,,,,,
56,CurveData/Float/700,,,,,,,,,
57,,,,,,,,CurveData/Color/Map_PoLight_Color_I,,
58,CurveData/Float/150,,,,,,,,,
59,CurveData/Float/1,,,,,,,,,
60,CurveData/Float/0_5,,,,,,,,,
61,,,,,,,,CurveData/Color/Map_PoLight_Color_L,,
62,CurveData/Float/1_5,,,,,,,,,
63,,,,,,,,CurveData/Color/Map_PoLight_Color_M,,
64,,,,,,,,CurveData/Color/Map_PoLight_Color_N,,
65,CurveData/Float/8000,,,,,,,,,
66,,,,,,,,CurveData/Color/Map_PoLight_Color_O,,
67,,,,,,,,CurveData/Color/Map_PoLight_Color_P,,
68,CurveData/Float/10,,,,,,,,,
69,CurveData/Float/1500,,,,,,,,,
70,CurveData/Float/200,,,,,,,,,
71,CurveData/Float/5,,,,,,,,,
72,CurveData/Float/80,,,,,,,,,
73,CurveData/Float/800,,,,,,,,,
74,,,,,,,,CurveData/Color/Map_PoLight_Color_Q,,
75,CurveData/Float/300,,,,,,,,,
76,,,,,,,,CurveData/Color/Map_PoLight_Color_R,,
77,CurveData/Float/2,,,,,,,,,
78,CurveData/Float/3,,,,,,,,,
79,,,,,,,,CurveData/Color/Map_PoLight_Color_S,,
80,CurveData/Float/70,,,,,,,,,
81,CurveData/Float/0_1_Curve_A,,,,,,,,,
82,CurveData/Float/0_1_Curve_B,,,,,,,,,
83,CurveData/Float/0_1_Curve_C,,,,,,,,,
84,CurveData/Float/0_1_Curve_D,,,,,,,,,
150,CurveData/Float/EventCamera000,,,,,,,,,
151,,,,,CurveData/Vector/EventCamera001,,,,,
152,,,,,CurveData/Vector/EnemyCameraVibration,,,,,
153,CurveData/Float/EventCamera002,,,,,,,,,
154,CurveData/Float/ClassBoardScrollCurve,,,,,,,,,
155,CurveData/Float/EventCamera003,,,,,,,,,
156,CurveData/Float/EventCamera004,,,,,,,,,
157,CurveData/Float/EventCamera005,,,,,,,,,
158,,,,,CurveData/Vector/EventCamera006,,,,,
