m_id,m_WhiteBalance,m_WhiteBalanceValue,m_GlobalSaturation,m_GlobalSaturationColorR,m_GlobalSaturationColorG,m_GlobalSaturationColorB,m_GlobalSaturationColorY,m_GlobalContrast,m_GlobalContrastValueR,m_GlobalContrastValueG,m_GlobalContrastValueB,m_GlobalContrastValueY,m_GlobalGamma,m_GlobalGammaValueR,m_GlobalGammaValueG,m_GlobalGammaValueB,m_GlobalGammaValueY,m_GlobalGain,m_GlobalGainValueR,m_GlobalGainValueG,m_GlobalGainValueB,m_GlobalGainValueY,m_GlobalOffset,m_GlobalOffsetValueR,m_GlobalOffsetValueG,m_GlobalOffsetValueB,m_GlobalOffsetValueY,m_ShadowsSaturation,m_ShadowsSaturationValueR,m_ShadowsSaturationValueG,m_ShadowsSaturationValueB,m_ShadowsSaturationValueV,m_ShadowsContrast,m_ShadowsContrastValueR,m_ShadowsContrastValueG,m_ShadowsContrastValueB,m_ShadowsContrastValueV,m_ShadowsGamma,m_ShadowsGammaValueR,m_ShadowsGammaValueG,m_ShadowsGammaValueB,m_ShadowsGammaValueY,m_ShadowsGain,m_ShadowsGainValueR,m_ShadowsGainValueG,m_ShadowsGainValueB,m_ShadowsGainValueV,m_ShadowsOffset,m_ShadowsOffsetValueR,m_ShadowsOffsetValueG,m_ShadowsOffsetValueB,m_ShadowsOffsetValueY,m_MidtonesSaturation,m_MidtonesSaturationValueR,m_MidtonesSaturationValueG,m_MidtonesSaturationValueB,m_MidtonesSaturationValueV,m_MidtonesContrast,m_MidtonesContrastValueR,m_MidtonesContrastValueG,m_MidtonesContrastValueB,m_MidtonesContrastValueY,m_MidtonesGamma,m_MidtonesGammaValueR,m_MidtonesGammaValueG,m_MidtonesGammaValueB,m_MidtonesGammaValueY,m_MidtonesGain,m_MidtonesGainValueR,m_MidtonesGainValueG,m_MidtonesGainValueB,m_MidtonesGainValueV,m_MidtonesOffset,m_MidtonesOffsetValueR,m_MidtonesOffsetValueG,m_MidtonesOffsetValueB,m_MidtonesOffsetValueY,m_HighlightsSaturation,m_HighlightsSaturationValueR,m_HighlightsSaturationValueG,m_HighlightsSaturationValueB,m_HighlightsSaturationValueV,m_HighlightsContrast,m_HighlightsContrastValueR,m_HighlightsContrastValueG,m_HighlightsContrastValueB,m_HighlightsContrastValueV,m_HighlightsGamma,m_HighlightsGammaValueR,m_HighlightsGammaValueG,m_HighlightsGammaValueB,m_HighlightsGammaValueV,m_HighlightsGain,m_HighlightsGainValueR,m_HighlightsGainValueG,m_HighlightsGainValueB,m_HighlightsGainValueV,m_HighlightsOffset,m_HighlightsOffsetValueR,m_HighlightsOffsetValueG,m_HighlightsOffsetValueB,m_HighlightsOffsetValueY,m_MiscSceneColorTint,m_MiscSceneColorTintValueR,m_MiscSceneColorTintValueG,m_MiscSceneColorTintValueB,m_MiscSceneColorTintValueV,m_MiscColorGradingLUTIntensity,m_MiscColorGradingLUTIntensityValue,m_BloomIntensity,m_BloomintensityValue,m_BloomThreshold,m_BloomThresholdValue,m_VignetteIntensity,m_VignetteIntensityValue,m_DOFFocalDistance,m_DOFFocalDistanceValue,m_DOFFocalRegion,m_DOFFocalRegionValue,m_DOFNearTransitionRegion,m_DOFNearTransitionRegionValue,m_DOFFarTransitionRegion,m_DOFFarTransitionRegionValue,m_DOFNearBlurSize,m_DOFNearBlurSizeValue,m_DOFFarBlurSize,m_DOFFarBlurSizeValue,m_FogDensity,m_FogDensityValue,m_FogColor,m_FogColorR,m_FogColorG,m_FogColorB,m_FogColorV,m_FogColorVValue,m_FogHeight,m_FogHeightValue,m_FogMaxOpacity,m_FogMaxOpacityValue,m_FogStartDistance,m_FogStartDistanceValue,m_FogAlbedo,m_FogAlbedoValue,m_DirLightRot,m_DirLightRotX,m_DirLightRotY,m_DirLightRotZ,m_DirLightIntensity,m_DirLightIntensityValue,m_DirLightColor,m_DirLightColorValue,m_DirLightTemperature,m_DirLightTemperatureValue,m_DirLightUseTemperatureFlg,m_DirLightUseTemperature,m_LightIntensity,m_LightIntensityMinValue,m_LightIntensityMaxValue,m_LightColor,m_LightColorMinValue,m_LightColorMaxValue,m_LihgtRadius,m_LihgtRadiusMinValue,m_LihgtRadiusMaxValue,m_InverseSquareFalloff,m_LightFalloffExponent,m_LightFalloffExponentMinValue,m_LightFalloffExponentMaxValue,m_CastShadow
0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,194,194,0,0.0,0.0,0,0,0,0,0.0,0.0,195,0,0.0,0.0,194
1,81,7000.0,81,0.8999999761581421,0.8999999761581421,0.8999999761581421,1.0,81,0.800000011920929,0.800000011920929,0.800000011920929,1.0,81,0.6000000238418579,0.6000000238418579,0.6000000238418579,1.0,81,1.2000000476837158,1.2000000476837158,1.2000000476837158,1.0,81,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,81,1.0049999952316284,1.3020000457763672,1.5,1.0,81,1.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,81,1.0,1.0,1.0,1.0,81,1.0,1.0,1.0,1.0,81,1.0,1.0,1.0,1.0,81,1.0,1.0,1.0,1.0,81,0.0,0.0,0.0,0.0,81,1.0,1.0,1.0,1.0,81,1.0,1.0,1.0,1.0,81,1.0,1.0,1.0,1.0,81,1.0,1.0,1.0,1.0,81,0.0,0.0,0.0,0.0,81,1.0,1.0,1.0,1.0,81,0.0,81,3.0,81,1.0,81,1.2000000476837158,81,2700.0,81,0.0,81,4000.0,81,5000.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,81,50.0,-60.0,5.0,81,15.0,81,16768972,0,0.0,194,194,81,150.0,150.0,81,11637645,11637645,81,3000.0,3000.0,195,0,0.0,0.0,194
2,81,8000.0,81,1.2000000476837158,1.185083031654358,1.1352880001068115,1.0,81,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929,81,0.6000000238418579,0.6000000238418579,0.6000000238418579,1.0,81,1.75,1.75,1.75,1.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,81,0.8333330154418945,0.8333330154418945,1.0,1.0,81,1.0,1.0,1.5,1.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,81,1.0,1.0,1.0,1.0,81,1.0,1.0099999904632568,1.100000023841858,1.0,81,1.2899999618530273,1.2899999618530273,1.2899999618530273,1.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,81,1.0,0.9567739963531494,0.8500000238418579,1.0,81,0.0,0,0.0,0,0.0,81,1.0,81,2700.0,81,900.0,81,7000.0,81,5000.0,81,1.0,81,5.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,81,50.0,-60.0,5.0,81,15.0,81,13797954,81,10000.0,195,195,81,50.0,50.0,81,11628882,11628882,81,3000.0,3000.0,195,0,0.0,0.0,194
3,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,81,3.0,0,0.0,81,1.2000000476837158,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,81,50.0,-60.0,5.0,81,12.0,81,16768972,0,0.0,194,194,81,700.0,700.0,81,11637645,11637645,81,1000.0,1000.0,195,0,0.0,0.0,194
4,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,81,1300.0,0,0.0,0,0.0,0,0.0,0,0.0,81,1.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,194,194,0,0.0,0.0,0,0,0,0,0.0,0.0,195,0,0.0,0.0,194
5,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,81,1300.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,81,5.0,81,8331802,0,0.0,194,194,81,150.0,150.0,81,11628882,11628882,81,3000.0,3000.0,195,0,0.0,0.0,194
6,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,81,1.0,81,0.4793199896812439,0.7011020183563232,1.0,0,0.0,81,2.0,0,0.0,81,1000.0,0,0,81,50.0,-60.0,5.0,0,0.0,0,0,0,0.0,194,194,81,500.0,500.0,81,11637645,11637645,81,1500.0,1500.0,195,0,0.0,0.0,194
7,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,81,2.0,0,0.0,81,1.2000000476837158,81,2700.0,81,0.0,81,4000.0,81,5000.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,81,50.0,-60.0,5.0,81,10.0,0,0,0,0.0,194,194,0,0.0,0.0,0,0,0,0,0.0,0.0,195,0,0.0,0.0,194
8,81,8000.0,81,0.8999999761581421,0.8999999761581421,0.8999999761581421,1.0,81,0.800000011920929,0.800000011920929,0.800000011920929,1.0,81,0.6000000238418579,0.6000000238418579,0.6000000238418579,1.0,81,1.2000000476837158,1.2000000476837158,1.2000000476837158,1.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,81,1.2999999523162842,1.2999999523162842,1.2999999523162842,1.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,81,1.149999976158142,1.0499999523162842,1.0,1.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,81,1.1039999723434448,1.1296000480651855,1.2000000476837158,1.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,81,1.0,1.0,1.0,1.0,81,0.0,81,3.0,0,0.0,81,1.2000000476837158,81,2700.0,0,0.0,81,4000.0,81,5000.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,81,50.0,-60.0,5.0,81,5.0,81,16765578,81,6500.0,195,195,81,13.0,13.0,81,16766094,16766094,81,1500.0,1500.0,194,0,0.0,0.0,194
9,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,81,7000.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,81,50.0,-60.0,5.0,0,0.0,0,0,0,0.0,194,194,0,0.0,0.0,0,0,0,0,0.0,0.0,194,0,0.0,0.0,194
