m_id,m_TutorialTexID
0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8,"[6113, 6114, 6115, 8337, 8339, 0, 0, 0, 0, 0]"
2,"[4513, 8340, 0, 0, 0, 0, 0, 0, 0, 0]"
1,"[4500, 8321, 8341, 0, 0, 0, 0, 0, 0, 0]"
3,"[4501, 8322, 8342, 0, 0, 0, 0, 0, 0, 0]"
4,"[4502, 8323, 8324, 0, 0, 0, 0, 0, 0, 0]"
7,"[4505, 8328, 8329, 8343, 9045, 0, 0, 0, 0, 0]"
6,"[4504, 8326, 8327, 9053, 0, 0, 0, 0, 0, 0]"
9,"[4507, 8330, 8331, 0, 0, 0, 0, 0, 0, 0]"
10,"[4508, 8332, 0, 0, 0, 0, 0, 0, 0, 0]"
5,"[4503, 8325, 8362, 0, 0, 0, 0, 0, 0, 0]"
12,"[4510, 8335, 9233, 0, 0, 0, 0, 0, 0, 0]"
11,"[4509, 8333, 8334, 9042, 9043, 9058, 0, 0, 0, 0]"
28,"[8344, 8345, 0, 0, 0, 0, 0, 0, 0, 0]"
15,"[6238, 6239, 6240, 6241, 4514, 9044, 0, 0, 0, 0]"
26,"[8115, 8116, 8336, 9059, 0, 0, 0, 0, 0, 0]"
27,"[8126, 8127, 9060, 0, 0, 0, 0, 0, 0, 0]"
25,"[4515, 4516, 4517, 4518, 4519, 9040, 9041, 0, 0, 0]"
29,"[8346, 8347, 8348, 8349, 0, 0, 0, 0, 0, 0]"
24,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
30,"[8395, 8396, 8397, 8398, 0, 0, 0, 0, 0, 0]"
32,"[9086, 9087, 0, 0, 0, 0, 0, 0, 0, 0]"
33,"[9088, 9089, 9090, 9091, 9092, 0, 0, 0, 0, 0]"
34,"[9046, 9047, 9048, 0, 0, 0, 0, 0, 0, 0]"
35,"[9055, 9056, 9057, 0, 0, 0, 0, 0, 0, 0]"
36,"[9093, 9094, 9095, 9115, 0, 0, 0, 0, 0, 0]"
37,"[9096, 9097, 9098, 0, 0, 0, 0, 0, 0, 0]"
38,"[9100, 9101, 9102, 9103, 0, 0, 0, 0, 0, 0]"
39,"[9131, 9132, 9133, 9134, 0, 0, 0, 0, 0, 0]"
40,"[9186, 9187, 9188, 0, 0, 0, 0, 0, 0, 0]"
41,"[9214, 9215, 9216, 9217, 9218, 0, 0, 0, 0, 0]"
42,"[9220, 9221, 9222, 9223, 9224, 9225, 0, 0, 0, 0]"
43,"[9226, 9227, 9228, 9229, 0, 0, 0, 0, 0, 0]"
44,"[9247, 9248, 9249, 9250, 9251, 0, 0, 0, 0, 0]"
45,"[9234, 9235, 9236, 9237, 0, 0, 0, 0, 0, 0]"
65,"[9350, 9351, 9352, 9353, 9354, 9355, 0, 0, 0, 0]"
70,"[9524, 9525, 9526, 0, 0, 0, 0, 0, 0, 0]"
74,"[9226, 9227, 9228, 9229, 0, 0, 0, 0, 0, 0]"
76,"[100001, 100002, 100003, 0, 0, 0, 0, 0, 0, 0]"
77,"[100004, 100005, 100006, 100007, 100008, 0, 0, 0, 0, 0]"
